Activity,Category
Movement programme,Fitness
Gym membership,Fitness
Sports club membership,Fitness
Personal exercise,Fitness
Nutrition programme,Nutrition
Weekly Bonus,Loyalty
Discover Helsana Coach,Loyalty
survey,Loyalty
Step Challenge - Helsana Coach App,Loyalty
Longstanding customers,Loyalty
Link to health tracker app,Loyalty
Long-term policy,Loyalty
Medical early detection,Loyalty
Mindfulness programme,MISQ
Trails App Run,MISQ
Discover Trails App,MISQ
